workerid,gender,lexeme,subject_information.age,neutral_binary,gender_total,party_numeric,party_cat,freq_neutral,freq_male,freq_female,log_rel_freq
914,female,stunt double,19,1,13.725000000000001,5,Democrat,4895,7809,1214,-0.6115625970298899
914,male,businessperson,19,0,13.725000000000001,5,Democrat,6653,326423,42745,-4.016183944223057
914,female,layperson,19,0,13.725000000000001,5,Democrat,3829,15822,219,-1.4325442721395467
914,male,foreperson,19,0,13.725000000000001,5,Democrat,1768,38553,775,-3.1020877691681727
914,female,meteorologist,19,1,13.725000000000001,5,Democrat,86259,9614,67,2.187189196555766
914,female,congressperson,19,0,13.725000000000001,5,Democrat,1150,134553,48088,-5.067760535083254
914,female,anchor,19,0,13.725000000000001,5,Democrat,26764,5817,517,1.4411257528041224
914,male,flight attendant,19,1,13.725000000000001,5,Democrat,42113,47553,4895,-0.21946572093989578
914,male,crewmember,19,0,13.725000000000001,5,Democrat,2262,3593,5,-0.46412875783441265
961,female,firefighter,37,1,49.1625,5,Democrat,100643,15598,75,1.8596401150568989
961,male,crewmember,37,1,49.1625,5,Democrat,2262,3593,5,-0.46412875783441265
961,male,salesperson,37,0,49.1625,5,Democrat,14830,45858,2553,-1.1830749044774842
961,male,layperson,37,0,49.1625,5,Democrat,3829,15822,219,-1.4325442721395467
961,female,craftsperson,37,1,49.1625,5,Democrat,961,16604,355,-2.870579536373108
961,male,camera operator,37,0,49.1625,5,Democrat,4258,23906,478,-1.745127613032948
961,female,congressperson,37,0,49.1625,5,Democrat,1150,134553,48088,-5.067760535083254
961,male,foreperson,37,0,49.1625,5,Democrat,1768,38553,775,-3.1020877691681727
961,male,stunt double,37,0,49.1625,5,Democrat,4895,7809,1214,-0.6115625970298899
961,female,flight attendant,37,0,49.1625,5,Democrat,42113,47553,4895,-0.21946572093989578
961,male,businessperson,37,0,49.1625,5,Democrat,6653,326423,42745,-4.016183944223057
961,female,police officer,37,1,49.1625,5,Democrat,540418,106944,7577,1.551584701900588
961,female,meteorologist,37,1,49.1625,5,Democrat,86259,9614,67,2.187189196555766
961,male,anchor,37,1,49.1625,5,Democrat,26764,5817,517,1.4411257528041224
931,female,meteorologist,38,1,43.2875,4,Democrat,86259,9614,67,2.187189196555766
931,female,flight attendant,38,1,43.2875,4,Democrat,42113,47553,4895,-0.21946572093989578
931,male,police officer,38,0,43.2875,4,Democrat,540418,106944,7577,1.551584701900588
931,female,foreperson,38,0,43.2875,4,Democrat,1768,38553,775,-3.1020877691681727
931,female,crewmember,38,1,43.2875,4,Democrat,2262,3593,5,-0.46412875783441265
931,female,firefighter,38,1,43.2875,4,Democrat,100643,15598,75,1.8596401150568989
931,female,businessperson,38,1,43.2875,4,Democrat,6653,326423,42745,-4.016183944223057
931,male,layperson,38,0,43.2875,4,Democrat,3829,15822,219,-1.4325442721395467
931,male,stunt double,38,0,43.2875,4,Democrat,4895,7809,1214,-0.6115625970298899
931,female,congressperson,38,0,43.2875,4,Democrat,1150,134553,48088,-5.067760535083254
931,male,camera operator,38,0,43.2875,4,Democrat,4258,23906,478,-1.745127613032948
931,male,craftsperson,38,0,43.2875,4,Democrat,961,16604,355,-2.870579536373108
931,female,anchor,38,1,43.2875,4,Democrat,26764,5817,517,1.4411257528041224
931,female,salesperson,38,1,43.2875,4,Democrat,14830,45858,2553,-1.1830749044774842
950,male,police officer,22,1,13.887500000000003,5,Democrat,540418,106944,7577,1.551584701900588
950,male,meteorologist,22,0,13.887500000000003,5,Democrat,86259,9614,67,2.187189196555766
950,female,crewmember,22,0,13.887500000000003,5,Democrat,2262,3593,5,-0.46412875783441265
950,male,firefighter,22,0,13.887500000000003,5,Democrat,100643,15598,75,1.8596401150568989
950,male,foreperson,22,0,13.887500000000003,5,Democrat,1768,38553,775,-3.1020877691681727
950,female,flight attendant,22,1,13.887500000000003,5,Democrat,42113,47553,4895,-0.21946572093989578
950,female,craftsperson,22,0,13.887500000000003,5,Democrat,961,16604,355,-2.870579536373108
950,female,businessperson,22,0,13.887500000000003,5,Democrat,6653,326423,42745,-4.016183944223057
950,female,congressperson,22,0,13.887500000000003,5,Democrat,1150,134553,48088,-5.067760535083254
950,female,camera operator,22,0,13.887500000000003,5,Democrat,4258,23906,478,-1.745127613032948
950,female,layperson,22,0,13.887500000000003,5,Democrat,3829,15822,219,-1.4325442721395467
950,male,stunt double,22,0,13.887500000000003,5,Democrat,4895,7809,1214,-0.6115625970298899
950,male,salesperson,22,0,13.887500000000003,5,Democrat,14830,45858,2553,-1.1830749044774842
950,male,anchor,22,0,13.887500000000003,5,Democrat,26764,5817,517,1.4411257528041224
953,female,congressperson,31,0,23.012500000000003,4,Democrat,1150,134553,48088,-5.067760535083254
953,male,crewmember,31,1,23.012500000000003,4,Democrat,2262,3593,5,-0.46412875783441265
953,female,businessperson,31,1,23.012500000000003,4,Democrat,6653,326423,42745,-4.016183944223057
953,female,police officer,31,1,23.012500000000003,4,Democrat,540418,106944,7577,1.551584701900588
953,male,flight attendant,31,1,23.012500000000003,4,Democrat,42113,47553,4895,-0.21946572093989578
953,male,camera operator,31,1,23.012500000000003,4,Democrat,4258,23906,478,-1.745127613032948
953,male,meteorologist,31,1,23.012500000000003,4,Democrat,86259,9614,67,2.187189196555766
953,female,layperson,31,1,23.012500000000003,4,Democrat,3829,15822,219,-1.4325442721395467
953,female,anchor,31,1,23.012500000000003,4,Democrat,26764,5817,517,1.4411257528041224
953,female,stunt double,31,1,23.012500000000003,4,Democrat,4895,7809,1214,-0.6115625970298899
953,male,craftsperson,31,0,23.012500000000003,4,Democrat,961,16604,355,-2.870579536373108
953,male,foreperson,31,0,23.012500000000003,4,Democrat,1768,38553,775,-3.1020877691681727
953,male,salesperson,31,1,23.012500000000003,4,Democrat,14830,45858,2553,-1.1830749044774842
